Word,Unrelated,Image,Condition
TRASH,SALAD,obj173trash.png,repetition
TAPE,APPLE,obj084tape.png,repetition
BOARD,MOVIE,obj047wood.png,repetition
FIREARM,GUITAR,obj354gun.png,synonym
TEETER-TOTTER,DRAWER,obj386seesaw.png,synonym
CUP,LADDER,obj180glass.png,synonym
BLOCK,ENGINE,obj118block.png,repetition
CHEST,PAPER,obj092chest.png,repetition
COAT,UNCLE,obj220jacket.png,synonym
STREET,POTATO,obj356road.png,synonym
LADY,MONTH,obj515woman.png,synonym
SPADE,SINGER,obj395shovel.png,synonym
BABY,PHONE,obj017baby.png,repetition
BACKPACK,QUEEN,obj020backpack.png,repetition
FIRE,ORANGE,obj154fire.png,repetition
GIFT,PIANO,obj337present.png,synonym
CITY,DINNER,obj097city.png,repetition
STONE,HONEY,obj358rock.png,synonym
CAR,HOTEL,obj081car.png,repetition
FUEL,BREAD,obj174gas.png,synonym
TROUSERS,RIVER,obj298pants.png,synonym
BUG,MUSIC,obj039bug.png,repetition
BAG,TENNIS,obj340purse.png,synonym
PASTOR,FAMILY,obj265priest.png,synonym
SPIRIT,INSECT,obj177ghost.png,synonym
PILLAR,PHOTO,obj105pillar.png,repetition
BOAT,FARMER,obj048boat.png,repetition
CHURCH,COFFEE,obj095church.png,repetition
FLOOR,COOKIE,obj162floor.png,repetition
PAIL,PIZZA,obj292bucket.png,synonym